City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Max Temp K,Wind Speed
117,Ilulissat,100,GL,1593139504,86,69.22,-51.1,39,277.15,2.1
118,New Norfolk,25,AU,1593139504,75,-42.78,147.06,50,283.15,0.45
119,Arraial do Cabo,49,BR,1593139341,80,-22.97,-42.03,72,295.31,6.94
120,Vila Velha,20,BR,1593139504,83,-20.33,-40.29,72,295.15,2.1
121,Constitución,98,CL,1593139505,73,-35.33,-72.42,48,282.18,2.18
122,Lingao,100,CN,1593139505,55,19.91,109.69,93,307.31,1.74
123,Longyearbyen,75,SJ,1593139505,76,78.22,15.64,48,282.15,2.6
124,Abu Kamal,0,SY,1593139505,41,34.45,40.92,78,298.65,6.46
125,Sainte-Maxime,1,FR,1593139505,82,43.3,6.63,64,290.93,1.92
126,Zemio,86,CF,1593139505,97,5.03,25.14,67,292.68,1.59
127,Severo-Kuril'sk,0,RU,1593139505,61,50.68,156.12,53,285.05,5.09
128,Regenstauf,1,DE,1593139506,87,49.12,12.13,54,285.37,0.83
129,Kisangani,100,CD,1593139506,95,0.52,25.2,70,294.38,0.8
130,Rundu,0,NA,1593139506,65,-17.93,19.77,45,280.15,0.5
131,Clarence Town,0,AU,1593139506,51,-32.58,151.78,63,290.15,3.6
132,Vila Franca do Campo,75,PT,1593139506,100,37.72,-25.43,64,291.15,4.6
133,Santa Rosa,75,PH,1593139507,59,14.31,121.11,94,307.59,5.1
134,Grindavik,75,IS,1593139507,87,63.84,-22.43,48,282.15,3.1
135,Cidreira,45,BR,1593139467,75,-30.18,-50.21,54,285.4,6.12
136,Bengkulu,0,ID,1593139507,63,-3.8,102.27,84,302.04,1.09
137,Cap Malheureux,2,MU,1593139507,71,-19.98,57.61,73,295.93,5.36
138,Östersund,16,SE,1593139507,77,63.18,14.64,61,289.15,1.0
139,Mnogovershinnyy,99,RU,1593139508,84,53.94,139.92,53,284.59,1.03
140,Mayumba,60,GA,1593139508,90,-3.43,10.66,70,294.53,0.86
141,PEMEX,100,MX,1593139508,89,18.44,-96.35,77,298.36,0.44
142,Tazovsky,51,RU,1593139508,58,67.47,78.7,60,288.69,5.37
143,Batemans Bay,0,AU,1593139508,50,-35.72,150.18,62,289.82,0.45
144,Santa Marta,92,CO,1593139228,86,11.24,-74.2,80,299.82,7.74
145,Labuhan,100,ID,1593139509,66,-6.88,112.21,83,301.36,1.49
146,Carutapera,12,BR,1593139420,92,-1.2,-46.02,75,297.04,1.89
147,Montague,21,US,1593139509,65,42.54,-72.54,69,293.71,0.67
148,Kiama,20,AU,1593139509,42,-34.68,150.87,64,290.93,3.1
149,Saint-Louis,97,SN,1593139509,64,16.33,-15.0,78,298.73,7.18
150,Saskylakh,43,RU,1593139509,23,71.92,114.08,88,304.18,4.92
151,Avarua,10,CK,1593139509,64,-21.21,-159.78,75,297.15,1.5
152,Egvekinot,100,RU,1593139510,99,66.32,-179.17,40,277.38,4.61
153,Pevek,100,RU,1593139510,98,69.7,170.31,31,272.75,7.93
154,North Bend,90,US,1593139510,100,43.41,-124.22,70,294.26,11.8
155,Puerto El Triunfo,37,SV,1593139511,94,13.28,-88.55,77,298.15,1.0
156,Carnarvon,40,AU,1593139511,49,-24.87,113.63,72,295.15,3.6
157,Saint-Philippe,34,RE,1593139511,73,-21.36,55.77,72,295.15,10.8
158,Yangi Marg`ilon,100,UZ,1593139511,30,40.43,71.72,81,300.15,3.1
159,Buin,75,CL,1593139511,75,-33.73,-70.75,46,281.15,4.6
160,Andijan,75,UZ,1593139511,43,40.78,72.34,73,296.15,2.0
161,East London,55,ZA,1593139257,25,-33.02,27.91,72,295.17,6.17
162,Clyde River,1,CA,1593139512,86,70.47,-68.59,39,277.15,3.1
163,Auki,18,SB,1593139512,58,-8.77,160.7,88,304.4,2.75
164,Kasongo-Lunda,100,CD,1593139512,48,-6.47,16.82,64,291.18,0.48
165,Beyneu,6,KZ,1593139513,42,45.32,55.2,71,294.92,8.43
166,Falam,100,MM,1593139513,93,22.92,93.68,68,293.12,1.49
167,Gouré,35,NE,1593139513,29,13.98,10.27,90,305.37,3.3
168,Gáldar,20,ES,1593139513,68,28.15,-15.65,72,295.15,10.3
169,Narutochō-mitsuishi,75,JP,1593139514,78,34.18,134.62,82,301.15,5.1
170,Sørland,64,NO,1593139514,88,67.67,12.69,52,284.06,5.86
171,Tezpur,100,IN,1593139388,97,26.63,92.8,77,297.9,0.61
172,Mahébourg,40,MU,1593139514,78,-20.41,57.7,72,295.15,6.2
173,Te Anau,98,NZ,1593139514,67,-45.42,167.72,46,281.15,0.59
174,Ponta do Sol,40,PT,1593139514,64,32.67,-17.1,68,293.15,4.1
175,Oktyabr'skiy,23,RU,1593139514,78,54.48,53.47,49,282.59,3.47
176,Bamenda,82,CM,1593139515,91,5.95,10.16,62,289.83,1.0
177,Arrondissement de Moulins,100,FR,1593139515,72,46.5,3.33,67,292.59,1.0
178,Dikson,100,RU,1593139515,93,73.51,80.55,37,275.8,3.68
179,Luanda,75,AO,1593138838,83,-8.84,13.23,73,296.15,1.5
180,Ternate,100,ID,1593139515,81,0.8,127.4,81,300.15,0.06
181,Vinh,100,VN,1593139515,50,18.67,105.67,94,307.85,3.33
182,Pisco,40,PE,1593139515,82,-13.7,-76.22,63,290.15,2.1
183,Skibbereen,75,IE,1593139515,93,51.55,-9.27,59,288.15,3.1
184,Beloha,26,MG,1593139516,84,-25.17,45.05,65,291.41,4.82
185,Cravo Norte,37,CO,1593139516,90,6.3,-70.2,75,297.08,2.29
186,Bandarbeyla,92,SO,1593139516,63,9.49,50.81,82,301.11,11.7
187,Hecun,100,CN,1593139516,35,36.53,114.11,88,304.27,2.73
188,Kropotkin,0,RU,1593139516,74,45.44,40.58,62,289.58,5.52
189,Santa Vitória do Palmar,0,BR,1593139296,78,-33.52,-53.37,45,280.65,4.36
190,Flin Flon,2,CA,1593139517,58,54.77,-101.86,65,291.53,1.96
191,Paraná,0,AR,1593139517,72,-31.73,-60.52,47,281.48,0.89
192,Pitimbu,100,BR,1593139517,83,-7.47,-34.81,77,297.97,4.92
193,Sosnovo-Ozerskoye,0,RU,1593139517,37,52.52,111.54,74,296.7,2.95
194,Umluj,0,SA,1593139517,73,25.02,37.27,79,299.53,3.92
195,Meulaboh,100,ID,1593139518,71,4.14,96.13,83,301.58,1.39
196,Lingyuan,11,CN,1593139518,42,41.24,119.4,79,299.16,1.19
197,Bodden Town,4,KY,1593139518,80,19.28,-81.25,84,302.04,1.34
198,Rāmkola,93,IN,1593139518,83,26.9,83.84,82,300.78,2.98
199,Bartlesville,1,US,1593139311,73,36.75,-95.98,80,299.82,1.5
200,Rocha,0,UY,1593139518,80,-34.48,-54.33,45,280.22,4.91
201,Noumea,0,NC,1593139508,47,-22.28,166.46,79,299.15,4.1
202,Żurrieq,0,MT,1593139519,88,35.83,14.47,72,295.15,3.1
203,Pangnirtung,84,CA,1593139519,65,66.15,-65.71,46,280.86,0.65
204,Pacific Grove,90,US,1593139519,82,36.62,-121.92,63,290.37,4.6
205,Nabire,41,ID,1593139519,81,-3.37,135.48,83,301.47,1.34
206,Nemuro,75,JP,1593139519,93,43.32,145.57,55,286.15,3.6
207,Marawi,93,PH,1593139519,78,8.0,124.29,84,302.04,2.68
208,Lakes Entrance,11,AU,1593139519,68,-37.88,147.98,57,287.04,0.89
209,Kiryat Gat,4,IL,1593139519,84,31.61,34.76,70,294.26,0.78
210,The Pas,1,CA,1593139519,68,53.83,-101.25,70,294.15,1.5
211,Neepawa,40,CA,1593139519,82,50.23,-99.47,68,293.15,1.5
212,Linxia Chengguanzhen,99,CN,1593139520,47,35.6,103.21,66,292.17,1.05
213,Orange,40,US,1593139520,64,33.7,-117.77,71,294.82,4.6
214,Ribeira Grande,99,PT,1593139520,90,38.52,-28.7,66,292.11,4.18
215,Tuktoyaktuk,75,CA,1593139520,57,69.45,-133.04,50,283.15,6.7
216,Hilo,1,US,1593139520,58,19.73,-155.09,84,302.15,4.6
217,Minden,0,DE,1593139321,68,52.28,8.92,64,291.15,3.1
218,Cabo San Lucas,5,MX,1593139307,29,22.89,-109.91,88,304.15,5.1
219,Aklavik,75,CA,1593139520,48,68.22,-135.01,66,292.15,3.1
220,Mt. Pleasant,1,US,1593139520,88,32.79,-79.86,80,299.82,1.5
221,Yazd,0,IR,1593139520,16,31.9,54.37,84,302.15,3.1
222,Effingham County,90,US,1593139521,69,32.37,-81.33,81,300.15,3.1
223,Sioux Lookout,40,CA,1593139521,60,50.1,-91.92,68,293.15,1.5
224,Bonavista,5,CA,1593139436,95,48.65,-53.11,60,288.8,6.42
225,Beringovskiy,100,RU,1593139521,64,63.05,179.32,49,282.55,7.06
226,Port Keats,47,AU,1593139521,31,-14.25,129.55,85,302.41,2.45
227,Anadyr,40,RU,1593139521,81,64.75,177.48,50,283.15,7.0
228,Acapulco de Juárez,90,MX,1593139522,94,16.86,-99.89,77,298.15,4.1
229,Kinsale,75,IE,1593139522,93,51.71,-8.53,60,288.71,3.1
230,Nichinan,75,JP,1593139522,59,31.6,131.37,90,305.15,6.2
231,Dwārka,22,IN,1593139522,76,22.24,68.97,86,303.02,5.46
232,Outjo,0,NA,1593139522,60,-20.12,16.15,44,279.68,1.79
233,Deputatsky,3,RU,1593139522,40,69.3,139.9,74,296.5,2.93
234,Hasaki,75,JP,1593139522,88,35.73,140.83,75,297.15,1.5
235,Katherine,40,AU,1593139522,20,-14.47,132.27,82,301.15,5.1
236,Norsup,75,VU,1593139522,88,-16.07,167.38,81,300.15,1.5
237,Tahoua,7,NE,1593139522,24,14.89,5.27,91,306.1,3.53
238,Ossora,39,RU,1593139523,58,59.24,163.07,63,290.42,7.3
239,Taltal,2,CL,1593139441,77,-25.4,-70.48,56,286.26,1.18
240,Sambava,52,MG,1593139523,83,-14.27,50.17,70,294.0,5.02
241,Coahuayana Viejo,75,MX,1593139441,88,18.73,-103.68,73,296.15,1.84
242,Maragogi,87,BR,1593139523,87,-9.01,-35.22,75,297.05,4.55
243,Arrondissement de Clermont,77,FR,1593139523,72,49.5,2.42,68,293.15,1.0
244,Nuuk,24,GL,1593139326,93,64.18,-51.72,37,276.15,3.6
245,Zigong,19,CN,1593139523,63,29.34,104.78,88,304.08,0.5
246,Harper,100,LR,1593139523,85,4.38,-7.72,76,297.39,4.37
247,Nacogdoches,75,US,1593139524,88,31.6,-94.63,78,298.71,4.1
248,Jaguaribe,59,BR,1593139524,75,-5.89,-38.62,74,296.58,1.82
249,Vila,75,PT,1593139524,93,42.03,-8.16,62,289.82,0.5
250,Waterloo,1,CA,1593139284,77,43.47,-80.52,64,290.93,1.5
251,Tasiilaq,98,GL,1593139524,93,65.61,-37.64,37,276.15,3.1
252,San Policarpo,100,PH,1593139524,79,12.18,125.51,84,301.93,2.41
253,Pithāpuram,40,IN,1593139524,79,17.12,82.27,84,302.15,2.6
254,Narsaq,74,GL,1593139524,81,60.92,-46.05,43,279.15,1.5
255,Port Hardy,90,CA,1593139525,71,50.7,-127.42,57,287.15,3.6
256,Salalah,75,OM,1593139525,83,17.02,54.09,84,302.15,1.5
257,Kalabo,0,ZM,1593139525,70,-14.97,22.68,49,282.86,1.62
258,Vysokogornyy,100,RU,1593139525,73,50.12,139.15,61,289.19,1.5
259,Góra,34,PL,1593139525,95,51.67,16.53,64,290.93,0.45
260,Jiwani,93,PK,1593139525,74,25.05,61.74,86,303.39,2.91
261,Alice Springs,0,AU,1593139525,31,-23.7,133.88,59,288.15,6.2
262,Hambantota,75,LK,1593139526,94,6.12,81.12,79,299.15,4.6
263,Yonibana,100,SL,1593139526,97,8.44,-12.24,73,295.92,0.98
264,Riachão do Dantas,0,BR,1593139526,91,-11.07,-37.73,65,291.63,0.9
265,Ballina,90,AU,1593139526,68,-28.87,153.57,64,291.15,5.7
266,Sisimiut,100,GL,1593139526,82,66.94,-53.67,40,277.85,2.73
267,Golovino,14,RU,1593139526,94,55.96,40.43,55,286.12,2.57
268,Hibbing,90,US,1593139526,77,47.43,-92.94,68,293.15,2.55
269,Leningradskiy,100,RU,1593139526,94,69.38,178.42,35,274.68,2.54
270,Miracatu,100,BR,1593139527,84,-24.28,-47.46,70,294.48,1.44
271,Zyryanka,7,RU,1593139527,24,65.75,150.85,86,303.21,4.43
272,Vikhorevka,78,RU,1593139527,68,56.12,101.16,68,293.15,2.0
273,Beidao,100,CN,1593139527,72,34.57,105.89,68,292.88,0.55
274,Karagay,92,RU,1593139527,86,58.27,54.94,48,281.77,3.97
275,Klyuchi,97,RU,1593139527,42,52.27,79.17,78,298.52,4.72
276,Chik,20,RU,1593139527,56,54.99,82.43,73,296.15,3.0
277,La Santisima Trinidad,64,BO,1593139255,95,-14.83,-64.9,70,294.47,4.73
278,Tautira,20,PF,1593139528,74,-17.73,-149.15,81,300.15,8.2
279,Riacho de Santana,29,BR,1593139528,73,-13.61,-42.94,69,293.65,3.93
280,Jacareacanga,8,BR,1593139325,76,-6.22,-57.75,75,297.17,0.43
281,Karatau,54,KZ,1593139528,13,43.17,70.47,86,303.27,7.33
282,Port Hedland,0,AU,1593139528,13,-20.32,118.57,81,300.15,6.7
283,Santa Cruz del Sur,18,CU,1593139528,87,20.71,-78.0,80,299.76,7.0
284,Serebryanyy Bor,95,RU,1593139528,51,56.8,124.8,69,293.61,4.11
285,Ancud,90,CL,1593139528,100,-41.87,-73.82,43,279.26,4.46
286,Łuków,0,PL,1593139528,10,51.93,22.38,64,290.93,3.91
287,Letterkenny,100,IE,1593139529,95,54.95,-7.73,57,287.27,0.64
288,Mahabad,0,IR,1593139529,53,36.76,45.72,66,292.03,2.64
289,Arkul',90,RU,1593139529,74,57.28,50.04,52,284.4,4.17
290,Phalombe,4,MW,1593139529,88,-15.81,35.65,55,285.88,0.71
291,São João da Barra,57,BR,1593139529,82,-21.64,-41.05,70,294.52,6.87
292,Faanui,74,PF,1593139529,75,-16.48,-151.75,79,299.01,4.67
293,Scarborough,0,GB,1593139527,92,54.28,-0.4,61,289.26,2.07
294,Portales,1,US,1593139529,30,34.19,-103.33,84,302.15,7.2
295,Bourail,0,NC,1593139529,50,-21.57,165.48,72,295.46,4.41
296,Dongsheng,98,CN,1593139530,22,39.82,109.98,76,297.5,1.81
297,Am Timan,100,TD,1593139530,71,11.03,20.28,77,297.91,4.82
298,Iqaluit,40,CA,1593139530,86,63.75,-68.51,39,277.15,1.0
299,Solnechnyy,77,RU,1593139530,56,50.72,136.63,68,293.05,2.0
300,Mongoumba,100,CF,1593139530,98,3.64,18.59,70,294.47,0.13
301,Port Macquarie,3,AU,1593139530,58,-31.43,152.92,65,291.48,3.29
302,Saldanha,86,ZA,1593139530,87,-33.01,17.94,55,286.15,1.5
303,Magdagachi,17,RU,1593139530,31,53.45,125.8,80,300.08,1.63
304,Pringsewu,50,ID,1593139530,65,-5.36,104.97,84,301.98,1.54
305,Trincomalee,98,LK,1593139531,71,8.57,81.23,83,301.54,7.26
306,Saint George,1,US,1593139531,10,37.1,-113.58,99,310.15,4.6
307,Savé,67,BJ,1593139531,97,8.04,2.49,74,296.25,3.12
308,Bubaque,92,GW,1593139531,86,11.28,-15.83,81,300.32,3.91
309,Omboué,69,GA,1593139531,87,-1.57,9.26,71,294.87,2.62
310,Salym,89,RU,1593139531,80,60.06,71.48,53,284.79,4.71
311,Berezovyy,83,RU,1593139531,52,51.67,135.7,69,293.8,1.35
312,Pangoa,19,PE,1593139531,95,-12.12,-73.0,68,293.38,0.86
